# contraction_full_forms.tsv — D_REGISTER_CONTRACTION repair map
# VA21 A7 — Format: contraction TAB full_form
can't	cannot
can't	cannot
won't	will not
wouldn't	would not
couldn't	could not
shouldn't	should not
isn't	is not
aren't	are not
wasn't	was not
weren't	were not
haven't	have not
hasn't	has not
hadn't	had not
don't	do not
doesn't	does not
didn't	did not
it's	it is
that's	that is
there's	there is
they're	they are
we're	we are
you're	you are
I'm	I am
I've	I have
I'd	I would
I'll	I will
he's	he is
she's	she is
he'd	he would
she'd	she would
he'll	he will
she'll	she will
they've	they have
they'd	they would
they'll	they will
we've	we have
we'd	we would
we'll	we will
you've	you have
you'd	you would
you'll	you will
who's	who is
who'd	who would
who'll	who will
what's	what is
where's	where is
when's	when is
why's	why is
how's	how is
there'd	there would
here's	here is
that'd	that would
that'll	that will
let's	let us
