# locale_variants.tsv — GB / US spelling variants
# Format: GB_form TAB US_form
# VA21 A3 — both sides pass spelling check; neither is flagged
ageing	aging
aging	ageing
colour	color
color	colour
favour	favor
favor	favour
behaviour	behavior
behavior	behaviour
neighbour	neighbor
neighbor	neighbour
labour	labor
labor	labour
honour	honor
honor	honour
humour	humor
humor	humour
rumour	rumor
rumor	rumor
organise	organize
organize	organise
recognise	recognize
recognize	recognise
realise	realize
realize	realise
emphasise	emphasize
emphasize	emphasise
analyse	analyze
analyze	analyse
apologise	apologize
apologize	apologise
authorise	authorize
authorize	authorise
categorise	categorize
categorize	categorise
characterise	characterize
characterize	characterise
centralise	centralize
centralize	centralise
commercialise	commercialize
commercialize	commercialise
criminalise	criminalize
criminalize	criminalise
digitalise	digitalize
digitalize	digitalise
emphasise	emphasize
emphasize	emphasise
encourage	encourage
equalise	equalize
equalize	equalise
finalise	finalize
finalize	finalise
formalise	formalize
formalize	formalise
generalise	generalize
generalize	generalise
globalise	globalize
globalize	globalise
harmonise	harmonize
harmonize	harmonise
idealise	idealize
idealize	idealise
incentivise	incentivize
incentivize	incentivise
individualise	individualize
individualize	individualise
industrialise	industrialize
industrialize	industrialise
initialise	initialize
initialize	initialise
legalise	legalize
legalize	legalise
legitimise	legitimize
legitimize	legitimise
liberalise	liberalize
liberalize	liberalise
marginalise	marginalize
marginalize	marginalise
maximise	maximize
maximize	maximise
minimise	minimize
minimize	minimise
modernise	modernize
modernize	modernise
moralise	moralize
moralize	moralise
naturalise	naturalize
naturalize	naturalise
neutralise	neutralize
neutralize	neutralise
normalise	normalize
normalize	normalise
optimise	optimize
optimize	optimise
penalise	penalize
penalize	penalise
personalise	personalize
personalize	personalise
polarise	polarize
polarize	polarise
prioritise	prioritize
prioritize	prioritise
privatise	privatize
privatize	privatise
professionalise	professionalize
professionalize	professionalise
rationalise	rationalize
rationalize	rationalise
revolutionise	revolutionize
revolutionize	revolutionise
scrutinise	scrutinize
scrutinize	scrutinise
socialise	socialize
socialize	socialise
specialise	specialize
specialize	specialise
standardise	standardize
standardize	standardise
symbolise	symbolize
symbolize	symbolise
urbanise	urbanize
urbanize	urbanise
utilise	utilize
utilize	utilise
centre	center
center	centre
fibre	fiber
fiber	fibre
litre	liter
liter	litre
metre	meter
meter	metre
theatre	theater
theater	theatre
programme	program
program	programme
defence	defense
defense	defence
licence	license
licence	licence
practice	practise
practise	practice
grey	gray
gray	grey
travelling	traveling
traveling	travelling
cancelled	canceled
canceled	cancelled
modelling	modeling
modeling	modelling
skilful	skillful
skillful	skilful
fulfil	fulfill
fulfill	fulfil
enrol	enroll
enroll	enrol
focused	focussed
focussed	focused
marvellous	marvelous
marvelous	marvellous
jewellery	jewelry
jewelry	jewellery
catalogue	catalog
catalog	catalogue
